doy,2024
1,
2,108.886
3,108.764
4,108.493
5,106.902
6,106.127
7,106.278
8,107.115
9,109.147
10,108.035
11,106.448
12,105.834
13,106.367
14,105.508
15,106.851
16,105.802
17,106.772
18,106.981
19,104.33
20,104.378
21,104.053
22,105.978
23,107.173
24,107.313
25,106.283
26,105.931
27,106.017
28,107.382
29,107.92
30,107.251
31,108.126
32,108.803
33,109.364
34,108.058
35,108.129
36,106.136
37,104.647
38,106.057
39,107.023
40,109.566
41,108.123
42,109.22
43,109.33
44,108.752
45,108.454
46,108.857
47,109.88
48,110.826
49,109.162
50,109.663
51,111.426
52,113.121
53,110.162
54,110.311
55,109.771
56,112.304
57,111.636
58,111.219
59,110.732
60,110.343
61,107.987
62,107.462
63,109.028
64,109.557
65,110.06
66,113.933
67,111.266
68,111.066
69,110.048
70,110.563
71,111.068
72,110.338
73,111.225
74,112.864
75,114.495
76,113.41
77,109.655
78,110.468
79,110.753
80,113.191
81,111.494
82,115.881
83,
84,114.846
85,113.336
86,115.012
87,112.706
88,111.064
89,110.361
90,115.611
91,115.475
92,115.569
93,114.652
94,119.352
95,121.34
96,119.129
97,116.553
98,118.584
99,118.462
100,119.1
101,119.423
102,119.822
103,119.31
104,119.674
105,121.905
106,120.951
107,119.672
108,120.225
109,120.837
110,123.054
111,123.787
112,124.161
113,122.792
114,123.567
115,124.098
116,123.175
117,123.796
118,124.345
119,124.972
120,126.652
121,126.809
122,124.929
123,123.161
124,122.801
125,123.425
126,121.757
127,120.721
128,121.851
129,119.669
130,121.021
131,122.805
132,123.158
133,123.402
134,122.194
135,121.9
136,120.573
137,121.466
138,123.378
139,124.816
140,124.325
141,124.031
142,123.665
143,127.416
144,125.951
145,125.695
146,127.445
147,125.995
148,124.992
149,123.036
150,121.589
151,121.393
152,123.852
153,123.886
154,123.334
155,123.412
156,124.373
157,122.631
158,124.929
159,123.743
160,123.64
161,124.393
162,122.822
163,124.108
164,122.798
165,123.282
166,124.863
167,124.468
168,123.544
169,122.874
170,123.95
171,124.109
172,122.947
173,122.449
174,122.39
175,121.904
176,123.148
177,124.371
178,124.611
179,121.665
180,122.549
181,124.808
182,125.44
183,125.176
184,122.817
185,123.196
186,125.532
187,127.255
188,126.296
189,123.49
190,124.645
191,124.396
192,124.069
193,125.766
194,126.085
195,128.219
196,126.329
197,125.858
198,125.611
199,123.299
200,123.439
201,121.358
202,124.02
203,124.549
204,124.535
205,125.499
206,125.585
207,126.732
208,123.613
209,122.876
210,120.937
211,119.583
212,120.324
213,121.085
214,122.786
215,123.96
216,124.702
217,123.097
218,123.567
219,123.877
220,125.056
221,122.674
222,123.145
223,124.912
224,125.916
225,123.617
226,122.388
227,121.296
228,120.249
229,121.208
230,121.037
231,120.798
232,122.701
233,123.773
234,123.954
235,122.561
236,125.369
237,125.066
238,123.869
239,123.423
240,122.557
241,125.371
242,125.886
243,124.378
244,125.199
245,124.309
246,124.267
247,124.924
248,123.693
249,123.766
250,127.316
251,125.179
252,123.717
253,123.506
254,123.716
255,123.877
256,124.832
257,123.431
258,122.836
259,123.303
260,122.978
261,124.651
262,124.667
263,122.541
264,123.726
265,124.107
266,125.213
267,123.867
268,126.426
269,126.179
270,126.002
271,125.647
272,125.934
273,125.327
274,127.28
275,125.392
276,124.871
277,126.415
278,126.857
279,124.968
280,122.726
281,124.658
282,126.419
283,125.414
284,123.802
285,123.465
286,123.174
287,123.068
288,123.698
289,123.207
290,122.679
291,121.964
292,121.952
293,123.234
294,122.774
295,123.783
296,122.686
297,121.535
298,124.639
299,122.381
300,122.478
301,123.715
302,122.938
303,122.211
304,124.122
305,122.358
306,122.806
307,124.174
308,126.939
309,124.705
310,122.032
311,121.563
312,119.856
313,118.76
314,118.478
315,116.871
316,117.153
317,116.864
318,118.876
319,115.331
320,115.04
321,115.001
322,116.983
323,118.874
324,114.318
325,114.264
326,114.208
327,115.749
328,118.201
329,117.31
330,117.599
331,116.596
332,115.08
333,115.248
334,113.883
335,112.726
336,114.59
337,112.487
338,111.953
339,112.892
340,113.953
341,114.333
342,113.093
343,111.8
344,112.312
345,110.155
346,111.537
347,110.401
348,112.036
349,112.931
350,112.814
351,110.255
352,112.478
353,111.591
354,112.438
355,112.059
356,113.52
357,112.548
358,112.897
359,111.89
360,111.708
361,107.895
362,108.998
363,110.093
364,111.155
365,109.225
